"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30447","Set 1Deci(10.9%) as default tax rate, save by id, create customer order, add product5 qty 1, and verify tax summary","chromium","2026-09-18","passed","2026-09-18","Tax Rates Page Tests","11_TaxRatesPageTests.spec.js","",""
"","33405","Add testwarehouse and verify it appears in the order warehouse dropdown for customer2","chromium","2026-09-18","passed","2026-09-18","Warehouse Tests","14_warehouse.spec.js","",""
"","8820","Login, navigate to Settings, click Imports tab, select Import Customers, and click Download Template by id","chromium","2026-09-18","passed","2026-09-18","Imports Page Tests","12_ImportsPageTests.spec.js","",""
"","27712","Import Deal Groups and Verify for Product100","chromium","2026-09-18","passed","2026-09-18","Product Import Tests","04_ProductPageTests.spec.js","",""
"","37114","Add client credential, copy token, rotate and delete","chromium","2026-09-18","passed","2026-09-18","Integration Token Tests","13_integrationToken.spec.js","",""
"","11936","Delete Scheduled Visit","chromium","2026-09-18","passed","2026-09-18","Calendar Tests","03_CalendarTests.spec.js","",""
"","36758","Toggle Account Manager ""See full list of customers"" and verify the inactive customer list reflects it","chromium","2026-09-18","passed","2026-09-18","User Roles Tests","15_UserRolesTests.spec.js","",""
"","26226","Set packaging option labels + global default, verify saved, and verify product5 order unit labels","chromium","2026-09-18","passed","2026-09-18","Edit Packaging Options Tests","16_EditPackagingOptionsTests.spec.js","",""
"","25937","Add integration API token, verify added, masked after refresh, then delete","chromium","2026-09-18","passed","2026-09-18","Integration Token Tests","13_integrationToken.spec.js","",""
"","35388","Verify Deal Group Detail Rows for Product100","chromium","2026-09-18","passed","2026-09-18","Product Import Tests","04_ProductPageTests.spec.js","",""
"","11664","Delete Task","chromium","2026-09-18","passed","2026-09-18","Calendar Tests","03_CalendarTests.spec.js","",""
"","31837","Assign and remove Contract2 deal group for customer2","chromium","2026-09-18","passed","2026-09-18","Customer Page Tests","05_CustomersPageTests.spec.js","",""
"","14086","Move C3 field up, then rename C2 to ""rename C2 to C3"" and save","chromium","2026-09-18","passed","2026-09-18","Customer Custom Fields Tests","09_CustomerCustomFieldsTests.spec.js","",""
"","33063","Toggle Account Manager ""Merge customers"" permission and verify the merge button on the Customers page","chromium","2026-09-18","passed","2026-09-18","User Roles Tests","15_UserRolesTests.spec.js","",""
"","37660","Disable overall discount, save configuration, open customer1, and verify overall discount element does not exist by id","chromium","2026-09-18","passed","2026-09-18","Timeline Tests","08_TimelinePageTests.spec.js","",""
"","14521","Navigate to Forms, open POC form results, select the latest result and verify form values are populated","chromium","2026-09-18","passed","2026-09-18","Forms Page Tests","07_FormsPageTests.spec.js","",""
"","25471","Delete custom fields C1, C3, ""rename C2 to C3"", C4 via delete bin and save","chromium","2026-09-18","passed","2026-09-18","Customer Custom Fields Tests","09_CustomerCustomFieldsTests.spec.js","",""
"","27245","Edit product3 order unit: set Drop Down Box Single Select to Option 1 and inner quantity to 10, save and verify","chromium","2026-09-18","passed","2026-09-18","Customer Custom Fields Tests","09_CustomerCustomFieldsTests.spec.js","",""
"","27435","Navigate to settings, enable deals and deal groups if needed, and save configuration","chromium","2026-09-18","passed","2026-09-18","Timeline Tests","08_TimelinePageTests.spec.js","",""
